step,t,y_FE,y_true,abs_error
0,0.0,1.0,1.0,0.0
1,0.4,-1.0,0.1353352832366127,1.1353352832366128
2,0.8,1.0,0.01831563888873418,0.9816843611112658
3,1.2000000000000002,-1.0,0.0024787521766663563,1.0024787521766663
4,1.6,1.0,0.00033546262790251185,0.9996645373720975
5,2.0,-1.0,4.5399929762484854e-05,1.0000453999297625
6,2.4,1.0,6.14421235332821e-06,0.9999938557876467
7,2.8,-1.0,8.315287191035679e-07,1.0000008315287192
8,3.1999999999999997,1.0,1.1253517471925931e-07,0.9999998874648253
9,3.5999999999999996,-1.0,1.522997974471263e-08,1.0000000152299797
10,3.9999999999999996,1.0,2.0611536224385653e-09,0.9999999979388464
11,4.3999999999999995,-1.0,2.789468092868935e-10,1.0000000002789469
12,4.8,1.0,3.775134544279098e-11,0.9999999999622486
13,5.2,-1.0,5.109089028063325e-12,1.000000000005109
14,5.6000000000000005,1.0,6.914400106940179e-13,0.9999999999993086
15,6.000000000000001,-1.0,9.357622968840141e-14,1.0000000000000935
16,6.400000000000001,1.0,1.2664165549094086e-14,0.9999999999999873
17,6.800000000000002,-1.0,1.7139084315420008e-15,1.0000000000000018
18,7.200000000000002,1.0,2.319522830243553e-16,0.9999999999999998
19,7.600000000000002,-1.0,3.139132792047985e-17,1.0
20,8.000000000000002,1.0,4.248354255291559e-18,1.0
21,8.400000000000002,-1.0,5.749522264293478e-19,1.0
22,8.800000000000002,1.0,7.781132241133686e-20,1.0
23,9.200000000000003,-1.0,1.0530617357553663e-20,1.0
24,9.600000000000003,1.0,1.4251640827409148e-21,1.0
25,10.000000000000004,-1.0,1.9287498479638903e-22,1.0
