step,t,y_BE,y_true,abs_error
0,0.0,1.0,1.0,0.0
1,0.4,0.3333333333333333,0.1353352832366127,0.1979980500967206
2,0.8,0.1111111111111111,0.01831563888873418,0.09279547222237693
3,1.2000000000000002,0.037037037037037035,0.0024787521766663563,0.03455828486037068
4,1.6,0.012345679012345678,0.00033546262790251185,0.012010216384443167
5,2.0,0.004115226337448559,4.5399929762484854e-05,0.0040698264076860745
6,2.4,0.001371742112482853,6.14421235332821e-06,0.0013655979001295246
7,2.8,0.0004572473708276176,8.315287191035679e-07,0.00045641584210851405
8,3.1999999999999997,0.00015241579027587253,1.1253517471925931e-07,0.00015230325510115326
9,3.5999999999999996,5.080526342529084e-05,1.522997974471263e-08,5.079003344554613e-05
10,3.9999999999999996,1.693508780843028e-05,2.0611536224385653e-09,1.693302665480784e-05
11,4.3999999999999995,5.64502926947676e-06,2.789468092868935e-10,5.644750322667473e-06
12,4.8,1.8816764231589197e-06,3.775134544279098e-11,1.881638671813477e-06
13,5.2,6.272254743863065e-07,5.109089028063325e-12,6.272203652972785e-07
14,5.6000000000000005,2.0907515812876884e-07,6.914400106940179e-13,2.0907446668875815e-07
15,6.000000000000001,6.969171937625627e-08,9.357622968840141e-14,6.969162580002658e-08
16,6.400000000000001,2.3230573125418757e-08,1.2664165549094086e-14,2.3230560461253208e-08
17,6.800000000000002,7.743524375139585e-09,1.7139084315420008e-15,7.743522661231153e-09
18,7.200000000000002,2.581174791713195e-09,2.319522830243553e-16,2.581174559760912e-09
19,7.600000000000002,8.603915972377316e-10,3.139132792047985e-17,8.603915658464037e-10
20,8.000000000000002,2.867971990792439e-10,4.248354255291559e-18,2.8679719483088964e-10
21,8.400000000000002,9.559906635974796e-11,5.749522264293478e-19,9.559906578479573e-11
22,8.800000000000002,3.186635545324932e-11,7.781132241133686e-20,3.1866355375437995e-11
23,9.200000000000003,1.0622118484416439e-11,1.0530617357553663e-20,1.0622118473885822e-11
24,9.600000000000003,3.540706161472146e-12,1.4251640827409148e-21,3.540706160046982e-12
25,10.000000000000004,1.180235387157382e-12,1.9287498479638903e-22,1.180235386964507e-12
